species_id,common_name,image_count,description,folder_path,source_url
2662,Pied Kingfisher,17,"The pied kingfisher (Pied Kingfisher) is a water kingfisher and is found widely distributed across Africa and Asia. Originally described by Linnaeus in 1758, it has five recognised subspecies. Its black and white plumage, crest and the habit of hovering over clear lakes and rivers before diving for fish make it distinctive. Males have a double band across the breast while females have a single gorget that is often broken in the middle. They are usually...",/kaggle/input/birdsug/birdsuganda/image/Pied_Kingfisher,https://www.inaturalist.org/taxa/2662-Pied Kingfisher
4972,Black-headed Heron,17,"The black-headed heron (Black-headed Heron) is a wading bird of the heron family Ardeidae, common throughout much of sub-Saharan Africa and Madagascar. It is mainly resident, but some west African birds move further north in the rainy season.",/kaggle/input/birdsug/birdsuganda/image/Black-headed_Heron,https://www.inaturalist.org/taxa/4972-Black-headed Heron
204531,Southern Fiscal,17,The southern fiscal or fiscal shrike (Southern Fiscal) is a member of the shrike family found through most of Sub-Saharan Africa. It is also sometimes named jackie hangman or butcher bird due to its habit of impaling its prey on acacia thorns to store the food for later consumption. It was previously lumped together with the northern fiscal (Lanius humeralis). Together they were known as the common fiscal.,/kaggle/input/birdsug/birdsuganda/image/Southern_Fiscal,https://www.inaturalist.org/taxa/204531-Southern Fiscal
5268,Black Kite,17,"The black kite (Black Kite) is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors. It is thought to be the world's most abundant species of Accipitridae, although some populations have experienced dramatic declines or fluctuations. Current global population estimates run up to 6 million individuals. Unlike others of the group, black kites are opportunistic hunters and are more likely to scavenge. They spend a lot of time soaring",/kaggle/input/birdsug/birdsuganda/image/Black_Kite,https://www.inaturalist.org/taxa/5268-Black Kite
4943,Little Egret,17,"The little egret (Little Egret) is a species of small heron in the family Ardeidae. The genus name comes from the Provençal French Aigrette, ""egret"", a diminutive of Aigron,"" heron"". The species epithet garzetta is from the Italian name for this bird, garzetta or sgarzetta.",/kaggle/input/birdsug/birdsuganda/image/Little_Egret,https://www.inaturalist.org/taxa/4943-Little Egret
2269,Lilac-breasted Roller,17,"The lilac-breasted roller (Lilac-breasted Roller) is an African member of the roller family of birds. It is widely distributed in sub-Saharan Africa and the southern Arabian Peninsula, preferring open woodland and savanna; it is largely absent from treeless places. Usually found alone or in pairs, it perches conspicuously at the tops of trees, poles or other high vantage points from where it can spot insects, lizards, scorpions, snails, small birds and rodents moving about at ground...",/kaggle/input/birdsug/birdsuganda/image/Lilac-breasted_Roller,https://www.inaturalist.org/taxa/2269-Lilac-breasted Roller
8038,Pied Crow,17,The pied crow (Pied Crow) is a widely distributed African bird species in the crow genus.,/kaggle/input/birdsug/birdsuganda/image/Pied_Crow,https://www.inaturalist.org/taxa/8038-Pied Crow
4270,Great Cormorant,17,"The great cormorant (Great Cormorant), known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, the large cormorant in India and the black shag further south in New Zealand, is a widespread member of the cormorant family of seabirds. The genus name is Latinised Ancient Greek, from φαλακρός (phalakros, ""bald"") and κόραξ (korax, ""raven""), and carbo is Latin for ""charcoal"".",/kaggle/input/birdsug/birdsuganda/image/Great_Cormorant,https://www.inaturalist.org/taxa/4270-Great Cormorant
5363,White-backed Vulture,17,"The white-backed vulture (White-backed Vulture) is an Old World vulture in the family Accipitridae, which also includes eagles, kites, buzzards and hawks. It is closely related to the European griffon vulture, G. fulvus. Sometimes it is called African white-backed vulture to distinguish it from the Oriental white-backed vulture — nowadays usually called white-rumped vulture — to which it was formerly believed to be closely related.",/kaggle/input/birdsug/birdsuganda/image/White-backed_Vulture,https://www.inaturalist.org/taxa/5363-White-backed Vulture
13699,Cape Wagtail,17,"The Cape wagtail, also known as Wells's wagtail, (Cape Wagtail) is a small African passerine bird in the family Motacillidae, which includes the wagtails, pipits and longclaws.",/kaggle/input/birdsug/birdsuganda/image/Cape_Wagtail,https://www.inaturalist.org/taxa/13699-Cape Wagtail
3036,Speckled Pigeon,17,"The speckled pigeon (Speckled Pigeon), or (African) rock pigeon, is a pigeon that is a resident breeding bird in much of Africa south of the Sahara. It is a common and widespread species in open habitats over much of its range, although there are sizable gaps in its distribution.",/kaggle/input/birdsug/birdsuganda/image/Speckled_Pigeon,https://www.inaturalist.org/taxa/3036-Speckled Pigeon
4388,Kelp Gull,17,"The  kelp gull (Kelp Gull), also known as the Dominican gull, is a gull which breeds on coasts and islands through much of the Southern Hemisphere. The nominate L. d. dominicanus is the subspecies found around South America, parts of Australia (where it overlaps with the Pacific gull), and New Zealand (where it is known as the southern black-backed gull, simply the black-backed gull, or by its Māori name karoro). L. d. vetula (known as...",/kaggle/input/birdsug/birdsuganda/image/Kelp_Gull,https://www.inaturalist.org/taxa/4388-Kelp Gull
13853,Cape Sparrow,17,"The Cape sparrow or mossie (Cape Sparrow) is a bird of the sparrow family Passeridae found in southern Africa. A medium-sized sparrow at 14–16 centimetres (5.5–6.3 in), it has distinctive plumage, including large pale head stripes in both sexes. Its plumage is mostly coloured grey, brown, and chestnut, and the male has some bold black and white markings on its head and neck. The species inhabits semi-arid savannah, cultivated areas, and towns, and ranges from the central...",/kaggle/input/birdsug/birdsuganda/image/Cape_Sparrow,https://www.inaturalist.org/taxa/13853-Cape Sparrow
13858,House Sparrow,17,"The house sparrow (House Sparrow) is a bird of the sparrow family Passeridae, found in most parts of the world. A small bird, it has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of about 25 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin,...",/kaggle/input/birdsug/birdsuganda/image/House_Sparrow,https://www.inaturalist.org/taxa/13858-House Sparrow
204554,Red-winged Starling,17,"The red-winged starling (Red-winged Starling) is a bird of the starling family Sturnidae native to eastern Africa from Ethiopia to the Cape in South Africa. It is known in Afrikaans as the rooivlerkspreeu, and as iSomi in Xhosa and Zulu.",/kaggle/input/birdsug/birdsuganda/image/Red-winged_Starling,https://www.inaturalist.org/taxa/204554-Red-winged Starling
